ORDERNUMBER,ORDERDATE,REQUIREDDATE,SHIPPEDDATE,STATUS,CUSTOMERNUMBER,CREATE_TIMESTAMP,UPDATE_TIMESTAMP,CANCELLEDDATE
10130,2003-06-16 00:00:00,2003-06-24 00:00:00,2003-06-21 00:00:00,Shipped,198,2005-06-09 12:00:00,2005-06-09 12:00:00,
10131,2003-06-16 00:00:00,2003-06-25 00:00:00,2003-06-21 00:00:00,Shipped,447,2005-06-09 12:00:00,2005-06-09 12:00:00,
10132,2003-06-25 00:00:00,2003-07-01 00:00:00,2003-06-28 00:00:00,Shipped,323,2005-06-09 12:00:00,2005-06-09 12:00:00,
10133,2003-06-27 00:00:00,2003-07-04 00:00:00,2003-07-03 00:00:00,Shipped,141,2005-06-09 12:00:00,2005-06-09 12:00:00,
10134,2003-07-01 00:00:00,2003-07-10 00:00:00,2003-07-05 00:00:00,Shipped,250,2005-06-09 12:00:00,2005-06-09 12:00:00,
10135,2003-07-02 00:00:00,2003-07-12 00:00:00,2003-07-03 00:00:00,Shipped,124,2005-06-09 12:00:00,2005-06-09 12:00:00,
10136,2003-07-04 00:00:00,2003-07-14 00:00:00,2003-07-06 00:00:00,Shipped,242,2005-06-09 12:00:00,2005-06-09 12:00:00,
10137,2003-07-10 00:00:00,2003-07-20 00:00:00,2003-07-14 00:00:00,Shipped,353,2005-06-09 12:00:00,2005-06-09 12:00:00,
10138,2003-07-07 00:00:00,2003-07-16 00:00:00,2003-07-13 00:00:00,Shipped,496,2005-06-09 12:00:00,2005-06-09 12:00:00,
10139,2003-07-16 00:00:00,2003-07-23 00:00:00,2003-07-21 00:00:00,Shipped,282,2005-06-09 12:00:00,2005-06-09 12:00:00,
10140,2003-07-24 00:00:00,2003-08-02 00:00:00,2003-07-30 00:00:00,Shipped,161,2005-06-09 12:00:00,2005-06-09 12:00:00,
10141,2003-08-01 00:00:00,2003-08-09 00:00:00,2003-08-04 00:00:00,Shipped,334,2005-06-09 12:00:00,2005-06-09 12:00:00,
10142,2003-08-08 00:00:00,2003-08-16 00:00:00,2003-08-13 00:00:00,Shipped,124,2005-06-09 12:00:00,2005-06-09 12:00:00,
10143,2003-08-10 00:00:00,2003-08-18 00:00:00,2003-08-12 00:00:00,Shipped,320,2005-06-09 12:00:00,2005-06-09 12:00:00,
10144,2003-08-13 00:00:00,2003-08-21 00:00:00,2003-08-14 00:00:00,Shipped,381,2005-06-09 12:00:00,2005-06-09 12:00:00,
10145,2003-08-25 00:00:00,2003-09-02 00:00:00,2003-08-31 00:00:00,Shipped,205,2005-06-09 12:00:00,2005-06-09 12:00:00,
10146,2003-09-03 00:00:00,2003-09-13 00:00:00,2003-09-06 00:00:00,Shipped,447,2005-06-09 12:00:00,2005-06-09 12:00:00,
10147,2003-09-05 00:00:00,2003-09-12 00:00:00,2003-09-09 00:00:00,Shipped,379,2005-06-09 12:00:00,2005-06-09 12:00:00,
10148,2003-09-11 00:00:00,2003-09-21 00:00:00,2003-09-15 00:00:00,Shipped,276,2005-06-09 12:00:00,2005-06-09 12:00:00,
10149,2003-09-12 00:00:00,2003-09-18 00:00:00,2003-09-17 00:00:00,Shipped,487,2005-06-09 12:00:00,2005-06-09 12:00:00,
10150,2003-09-19 00:00:00,2003-09-27 00:00:00,2003-09-21 00:00:00,Shipped,148,2005-06-09 12:00:00,2005-06-09 12:00:00,
10151,2003-09-21 00:00:00,2003-09-30 00:00:00,2003-09-24 00:00:00,Shipped,311,2005-06-09 12:00:00,2005-06-09 12:00:00,
10152,2003-09-25 00:00:00,2003-10-03 00:00:00,2003-10-01 00:00:00,Shipped,333,2005-06-09 12:00:00,2005-06-09 12:00:00,
10153,2003-09-28 00:00:00,2003-10-05 00:00:00,2003-10-03 00:00:00,Shipped,141,2005-06-09 12:00:00,2005-06-09 12:00:00,
10154,2003-10-02 00:00:00,2003-10-12 00:00:00,2003-10-08 00:00:00,Shipped,219,2005-06-09 12:00:00,2005-06-09 12:00:00,
10155,2003-10-06 00:00:00,2003-10-13 00:00:00,2003-10-07 00:00:00,Shipped,186,2005-06-09 12:00:00,2005-06-09 12:00:00,
10156,2003-10-08 00:00:00,2003-10-17 00:00:00,2003-10-11 00:00:00,Shipped,141,2005-06-09 12:00:00,2005-06-09 12:00:00,
10157,2003-10-09 00:00:00,2003-10-15 00:00:00,2003-10-14 00:00:00,Shipped,473,2005-06-09 12:00:00,2005-06-09 12:00:00,
10158,2003-10-10 00:00:00,2003-10-18 00:00:00,2003-10-15 00:00:00,Shipped,121,2005-06-09 12:00:00,2005-06-09 12:00:00,
10159,2003-10-10 00:00:00,2003-10-19 00:00:00,2003-10-16 00:00:00,Shipped,321,2005-06-09 12:00:00,2005-06-09 12:00:00,
10161,2003-10-17 00:00:00,2003-10-25 00:00:00,2003-10-20 00:00:00,Shipped,227,2005-06-09 12:00:00,2005-06-09 12:00:00,
10162,2003-10-18 00:00:00,2003-10-26 00:00:00,2003-10-19 00:00:00,Shipped,321,2005-06-09 12:00:00,2005-06-09 12:00:00,
10163,2003-10-20 00:00:00,2003-10-27 00:00:00,2003-10-24 00:00:00,Shipped,424,2005-06-09 12:00:00,2005-06-09 12:00:00,
10164,2003-10-21 00:00:00,2003-10-30 00:00:00,2003-10-23 00:00:00,Resolved,452,2005-06-09 12:00:00,2005-06-09 12:00:00,
10166,2003-10-21 00:00:00,2003-10-30 00:00:00,2003-10-27 00:00:00,Shipped,462,2005-06-09 12:00:00,2005-06-09 12:00:00,
10167,2003-10-23 00:00:00,2003-10-30 00:00:00,,Cancelled,448,2005-06-09 12:00:00,2005-06-09 12:00:00,2003-10-29 00:00:00
10168,2003-10-28 00:00:00,2003-11-03 00:00:00,2003-11-01 00:00:00,Shipped,161,2005-06-09 12:00:00,2005-06-09 12:00:00,
10169,2003-11-04 00:00:00,2003-11-14 00:00:00,2003-11-09 00:00:00,Shipped,276,2005-06-09 12:00:00,2005-06-09 12:00:00,
10170,2003-11-04 00:00:00,2003-11-12 00:00:00,2003-11-07 00:00:00,Shipped,452,2005-06-09 12:00:00,2005-06-09 12:00:00,
10171,2003-11-05 00:00:00,2003-11-13 00:00:00,2003-11-07 00:00:00,Shipped,233,2005-06-09 12:00:00,2005-06-09 12:00:00,
10172,2003-11-05 00:00:00,2003-11-14 00:00:00,2003-11-11 00:00:00,Shipped,175,2005-06-09 12:00:00,2005-06-09 12:00:00,
10173,2003-11-05 00:00:00,2003-11-15 00:00:00,2003-11-09 00:00:00,Shipped,278,2005-06-09 12:00:00,2005-06-09 12:00:00,
10174,2003-11-06 00:00:00,2003-11-15 00:00:00,2003-11-10 00:00:00,Shipped,333,2005-06-09 12:00:00,2005-06-09 12:00:00,
10176,2003-11-06 00:00:00,2003-11-15 00:00:00,2003-11-12 00:00:00,Shipped,386,2005-06-09 12:00:00,2005-06-09 12:00:00,
10177,2003-11-07 00:00:00,2003-11-17 00:00:00,2003-11-12 00:00:00,Shipped,344,2005-06-09 12:00:00,2005-06-09 12:00:00,
10178,2003-11-08 00:00:00,2003-11-16 00:00:00,2003-11-10 00:00:00,Shipped,242,2005-06-09 12:00:00,2005-06-09 12:00:00,
10179,2003-11-11 00:00:00,2003-11-17 00:00:00,2003-11-13 00:00:00,Cancelled,496,2005-06-09 12:00:00,2005-06-09 12:00:00,2003-11-16 00:00:00
10180,2003-11-11 00:00:00,2003-11-19 00:00:00,2003-11-14 00:00:00,Shipped,171,2005-06-09 12:00:00,2005-06-09 12:00:00,
10181,2003-11-12 00:00:00,2003-11-19 00:00:00,2003-11-15 00:00:00,Shipped,167,2005-06-09 12:00:00,2005-06-09 12:00:00,
10182,2003-11-12 00:00:00,2003-11-21 00:00:00,2003-11-18 00:00:00,Shipped,124,2005-06-09 12:00:00,2005-06-09 12:00:00,
10183,2003-11-13 00:00:00,2003-11-22 00:00:00,2003-11-15 00:00:00,Shipped,339,2005-06-09 12:00:00,2005-06-09 12:00:00,
10184,2003-11-14 00:00:00,2003-11-22 00:00:00,2003-11-20 00:00:00,Shipped,484,2005-06-09 12:00:00,2005-06-09 12:00:00,
10185,2003-11-14 00:00:00,2003-11-21 00:00:00,2003-11-20 00:00:00,Shipped,320,2005-06-09 12:00:00,2005-06-09 12:00:00,
10186,2003-11-14 00:00:00,2003-11-20 00:00:00,2003-11-18 00:00:00,Shipped,489,2005-06-09 12:00:00,2005-06-09 12:00:00,
10187,2003-11-15 00:00:00,2003-11-24 00:00:00,2003-11-16 00:00:00,Shipped,211,2005-06-09 12:00:00,2005-06-09 12:00:00,
10188,2003-11-18 00:00:00,2003-11-26 00:00:00,2003-11-24 00:00:00,Shipped,167,2005-06-09 12:00:00,2005-06-09 12:00:00,
10189,2003-11-18 00:00:00,2003-11-25 00:00:00,2003-11-24 00:00:00,Shipped,205,2005-06-09 12:00:00,2005-06-09 12:00:00,
10190,2003-11-19 00:00:00,2003-11-29 00:00:00,2003-11-20 00:00:00,Shipped,141,2005-06-09 12:00:00,2005-06-09 12:00:00,
10191,2003-11-20 00:00:00,2003-11-30 00:00:00,2003-11-24 00:00:00,Shipped,259,2005-06-09 12:00:00,2005-06-09 12:00:00,
10192,2003-11-20 00:00:00,2003-11-29 00:00:00,2003-11-25 00:00:00,Shipped,363,2005-06-09 12:00:00,2005-06-09 12:00:00,
10193,2003-11-21 00:00:00,2003-11-28 00:00:00,2003-11-27 00:00:00,Shipped,471,2005-06-09 12:00:00,2005-06-09 12:00:00,
10194,2003-11-25 00:00:00,2003-12-02 00:00:00,2003-11-26 00:00:00,Shipped,146,2005-06-09 12:00:00,2005-06-09 12:00:00,
10195,2003-11-25 00:00:00,2003-12-01 00:00:00,2003-11-28 00:00:00,Shipped,319,2005-06-09 12:00:00,2005-06-09 12:00:00,
10196,2003-11-26 00:00:00,2003-12-03 00:00:00,2003-12-01 00:00:00,Shipped,455,2005-06-09 12:00:00,2005-06-09 12:00:00,
10197,2003-11-26 00:00:00,2003-12-02 00:00:00,2003-12-01 00:00:00,Shipped,216,2005-06-09 12:00:00,2005-06-09 12:00:00,
10198,2003-11-27 00:00:00,2003-12-06 00:00:00,2003-12-03 00:00:00,Shipped,385,2005-06-09 12:00:00,2005-06-09 12:00:00,
10199,2003-12-01 00:00:00,2003-12-10 00:00:00,2003-12-06 00:00:00,Shipped,475,2005-06-09 12:00:00,2005-06-09 12:00:00,
10200,2003-12-01 00:00:00,2003-12-09 00:00:00,2003-12-06 00:00:00,Shipped,211,2005-06-09 12:00:00,2005-06-09 12:00:00,
10201,2003-12-01 00:00:00,2003-12-11 00:00:00,2003-12-02 00:00:00,Shipped,129,2005-06-09 12:00:00,2005-06-09 12:00:00,
10202,2003-12-02 00:00:00,2003-12-09 00:00:00,2003-12-06 00:00:00,Shipped,357,2005-06-09 12:00:00,2005-06-09 12:00:00,
10203,2003-12-02 00:00:00,2003-12-11 00:00:00,2003-12-07 00:00:00,Shipped,141,2005-06-09 12:00:00,2005-06-09 12:00:00,
10204,2003-12-02 00:00:00,2003-12-10 00:00:00,2003-12-04 00:00:00,Shipped,151,2005-06-09 12:00:00,2005-06-09 12:00:00,
10205,2003-12-03 00:00:00,2003-12-09 00:00:00,2003-12-07 00:00:00,Shipped,141,2005-06-09 12:00:00,2005-06-09 12:00:00,
10207,2003-12-09 00:00:00,2003-12-17 00:00:00,2003-12-11 00:00:00,Shipped,495,2005-06-09 12:00:00,2005-06-09 12:00:00,
10208,2004-01-02 00:00:00,2004-01-11 00:00:00,2004-01-04 00:00:00,Shipped,146,2005-06-09 12:00:00,2005-06-09 12:00:00,
10209,2004-01-09 00:00:00,2004-01-15 00:00:00,2004-01-12 00:00:00,Shipped,347,2005-06-09 12:00:00,2005-06-09 12:00:00,
10210,2004-01-12 00:00:00,2004-01-22 00:00:00,2004-01-20 00:00:00,Shipped,177,2005-06-09 12:00:00,2005-06-09 12:00:00,
10211,2004-01-15 00:00:00,2004-01-25 00:00:00,2004-01-18 00:00:00,Shipped,406,2005-06-09 12:00:00,2005-06-09 12:00:00,
10212,2004-01-16 00:00:00,2004-01-24 00:00:00,2004-01-18 00:00:00,Shipped,141,2005-06-09 12:00:00,2005-06-09 12:00:00,
10213,2004-01-22 00:00:00,2004-01-28 00:00:00,2004-01-27 00:00:00,Shipped,489,2005-06-09 12:00:00,2005-06-09 12:00:00,
10214,2004-01-26 00:00:00,2004-02-04 00:00:00,2004-01-29 00:00:00,Shipped,458,2005-06-09 12:00:00,2005-06-09 12:00:00,
10215,2004-01-29 00:00:00,2004-02-08 00:00:00,2004-02-01 00:00:00,Shipped,475,2005-06-09 12:00:00,2005-06-09 12:00:00,
10216,2004-02-02 00:00:00,2004-02-10 00:00:00,2004-02-04 00:00:00,Shipped,256,2005-06-09 12:00:00,2005-06-09 12:00:00,
10217,2004-02-04 00:00:00,2004-02-14 00:00:00,2004-02-06 00:00:00,Shipped,166,2005-06-09 12:00:00,2005-06-09 12:00:00,
10218,2004-02-09 00:00:00,2004-02-16 00:00:00,2004-02-11 00:00:00,Shipped,473,2005-06-09 12:00:00,2005-06-09 12:00:00,
10219,2004-02-10 00:00:00,2004-02-17 00:00:00,2004-02-12 00:00:00,Shipped,487,2005-06-09 12:00:00,2005-06-09 12:00:00,
10220,2004-02-12 00:00:00,2004-02-19 00:00:00,2004-02-16 00:00:00,Shipped,189,2005-06-09 12:00:00,2005-06-09 12:00:00,
10221,2004-02-18 00:00:00,2004-02-26 00:00:00,2004-02-19 00:00:00,Shipped,314,2005-06-09 12:00:00,2005-06-09 12:00:00,
10222,2004-02-19 00:00:00,2004-02-27 00:00:00,2004-02-20 00:00:00,Shipped,239,2005-06-09 12:00:00,2005-06-09 12:00:00,
10223,2004-02-20 00:00:00,2004-02-29 00:00:00,2004-02-24 00:00:00,Shipped,114,2005-06-09 12:00:00,2005-06-09 12:00:00,
10225,2004-02-22 00:00:00,2004-03-01 00:00:00,2004-02-24 00:00:00,Shipped,298,2005-06-09 12:00:00,2005-06-09 12:00:00,
10226,2004-02-26 00:00:00,2004-03-06 00:00:00,2004-03-02 00:00:00,Shipped,239,2005-06-09 12:00:00,2005-06-09 12:00:00,
10227,2004-03-02 00:00:00,2004-03-12 00:00:00,2004-03-08 00:00:00,Shipped,146,2005-06-09 12:00:00,2005-06-09 12:00:00,
10228,2004-03-10 00:00:00,2004-03-18 00:00:00,2004-03-13 00:00:00,Shipped,173,2005-06-09 12:00:00,2005-06-09 12:00:00,
10229,2004-03-11 00:00:00,2004-03-20 00:00:00,2004-03-12 00:00:00,Shipped,124,2005-06-09 12:00:00,2005-06-09 12:00:00,
10230,2004-03-15 00:00:00,2004-03-24 00:00:00,2004-03-20 00:00:00,Shipped,128,2005-06-09 12:00:00,2005-06-09 12:00:00,
10231,2004-03-19 00:00:00,2004-03-26 00:00:00,2004-03-25 00:00:00,Shipped,344,2005-06-09 12:00:00,2005-06-09 12:00:00,
10232,2004-03-20 00:00:00,2004-03-30 00:00:00,2004-03-25 00:00:00,Shipped,240,2005-06-09 12:00:00,2005-06-09 12:00:00,
10233,2004-03-29 00:00:00,2004-04-04 00:00:00,2004-04-02 00:00:00,Shipped,328,2005-06-09 12:00:00,2005-06-09 12:00:00,
10234,2004-03-30 00:00:00,2004-04-05 00:00:00,2004-04-02 00:00:00,Shipped,412,2005-06-09 12:00:00,2005-06-09 12:00:00,
10235,2004-04-02 00:00:00,2004-04-12 00:00:00,2004-04-06 00:00:00,Shipped,260,2005-06-09 12:00:00,2005-06-09 12:00:00,
10236,2004-04-03 00:00:00,2004-04-11 00:00:00,2004-04-08 00:00:00,Shipped,486,2005-06-09 12:00:00,2005-06-09 12:00:00,
10237,2004-04-05 00:00:00,2004-04-12 00:00:00,2004-04-10 00:00:00,Shipped,181,2005-06-09 12:00:00,2005-06-09 12:00:00,
10238,2004-04-09 00:00:00,2004-04-16 00:00:00,2004-04-10 00:00:00,Shipped,145,2005-06-09 12:00:00,2005-06-09 12:00:00,
10239,2004-04-12 00:00:00,2004-04-21 00:00:00,2004-04-17 00:00:00,Shipped,311,2005-06-09 12:00:00,2005-06-09 12:00:00,
10240,2004-04-13 00:00:00,2004-04-20 00:00:00,2004-04-20 00:00:00,Shipped,177,2005-06-09 12:00:00,2005-06-09 12:00:00,
10241,2004-04-13 00:00:00,2004-04-20 00:00:00,2004-04-19 00:00:00,Shipped,209,2005-06-09 12:00:00,2005-06-09 12:00:00,
10242,2004-04-20 00:00:00,2004-04-28 00:00:00,2004-04-25 00:00:00,Shipped,456,2005-06-09 12:00:00,2005-06-09 12:00:00,
10243,2004-04-26 00:00:00,2004-05-03 00:00:00,2004-04-28 00:00:00,Shipped,495,2005-06-09 12:00:00,2005-06-09 12:00:00,
10244,2004-04-29 00:00:00,2004-05-09 00:00:00,2004-05-04 00:00:00,Shipped,141,2005-06-09 12:00:00,2005-06-09 12:00:00,
10245,2004-05-04 00:00:00,2004-05-12 00:00:00,2004-05-09 00:00:00,Shipped,455,2005-06-09 12:00:00,2005-06-09 12:00:00,
10246,2004-05-05 00:00:00,2004-05-13 00:00:00,2004-05-06 00:00:00,Shipped,141,2005-06-09 12:00:00,2005-06-09 12:00:00,
10247,2004-05-05 00:00:00,2004-05-11 00:00:00,2004-05-08 00:00:00,Shipped,334,2005-06-09 12:00:00,2005-06-09 12:00:00,
10248,2004-05-07 00:00:00,2004-05-14 00:00:00,,Cancelled,131,2005-06-09 12:00:00,2005-06-09 12:00:00,2004-05-13 00:00:00
10249,2004-05-08 00:00:00,2004-05-17 00:00:00,2004-05-11 00:00:00,Shipped,173,2005-06-09 12:00:00,2005-06-09 12:00:00,
10250,2004-05-11 00:00:00,2004-05-19 00:00:00,2004-05-15 00:00:00,Shipped,450,2005-06-09 12:00:00,2005-06-09 12:00:00,
10251,2004-05-18 00:00:00,2004-05-24 00:00:00,2004-05-24 00:00:00,Shipped,328,2005-06-09 12:00:00,2005-06-09 12:00:00,
10252,2004-05-26 00:00:00,2004-06-04 00:00:00,2004-05-29 00:00:00,Shipped,406,2005-06-09 12:00:00,2005-06-09 12:00:00,
10253,2004-06-01 00:00:00,2004-06-09 00:00:00,2004-06-02 00:00:00,Cancelled,201,2005-06-09 12:00:00,2005-06-09 12:00:00,2004-06-08 00:00:00
10254,2004-06-03 00:00:00,2004-06-13 00:00:00,2004-06-04 00:00:00,Shipped,323,2005-06-09 12:00:00,2005-06-09 12:00:00,
10255,2004-06-04 00:00:00,2004-06-12 00:00:00,2004-06-09 00:00:00,Shipped,209,2005-06-09 12:00:00,2005-06-09 12:00:00,
10257,2004-06-14 00:00:00,2004-06-24 00:00:00,2004-06-15 00:00:00,Shipped,450,2005-06-09 12:00:00,2005-06-09 12:00:00,
10258,2004-06-15 00:00:00,2004-06-25 00:00:00,2004-06-23 00:00:00,Shipped,398,2005-06-09 12:00:00,2005-06-09 12:00:00,
10259,2004-06-15 00:00:00,2004-06-22 00:00:00,2004-06-17 00:00:00,Shipped,166,2005-06-09 12:00:00,2005-06-09 12:00:00,
10260,2004-06-16 00:00:00,2004-06-22 00:00:00,,Cancelled,357,2005-06-09 12:00:00,2005-06-09 12:00:00,2004-06-21 00:00:00
10261,2004-06-17 00:00:00,2004-06-25 00:00:00,2004-06-22 00:00:00,Shipped,233,2005-06-09 12:00:00,2005-06-09 12:00:00,
10262,2004-06-24 00:00:00,2004-07-01 00:00:00,,Cancelled,141,2005-06-09 12:00:00,2005-06-09 12:00:00,2004-06-30 00:00:00
10263,2004-06-28 00:00:00,2004-07-04 00:00:00,2004-07-02 00:00:00,Shipped,175,2005-06-09 12:00:00,2005-06-09 12:00:00,
10264,2004-06-30 00:00:00,2004-07-06 00:00:00,2004-07-01 00:00:00,Shipped,362,2005-06-09 12:00:00,2005-06-09 12:00:00,
10265,2004-07-02 00:00:00,2004-07-09 00:00:00,2004-07-07 00:00:00,Shipped,471,2005-06-09 12:00:00,2005-06-09 12:00:00,
10266,2004-07-06 00:00:00,2004-07-14 00:00:00,2004-07-10 00:00:00,Shipped,386,2005-06-09 12:00:00,2005-06-09 12:00:00,
10267,2004-07-07 00:00:00,2004-07-17 00:00:00,2004-07-09 00:00:00,Shipped,151,2005-06-09 12:00:00,2005-06-09 12:00:00,
10268,2004-07-12 00:00:00,2004-07-18 00:00:00,2004-07-14 00:00:00,Shipped,412,2005-06-09 12:00:00,2005-06-09 12:00:00,
10269,2004-07-16 00:00:00,2004-07-22 00:00:00,2004-07-18 00:00:00,Shipped,382,2005-06-09 12:00:00,2005-06-09 12:00:00,
10270,2004-07-19 00:00:00,2004-07-27 00:00:00,2004-07-24 00:00:00,Shipped,282,2005-06-09 12:00:00,2005-06-09 12:00:00,
10271,2004-07-20 00:00:00,2004-07-29 00:00:00,2004-07-23 00:00:00,Shipped,124,2005-06-09 12:00:00,2005-06-09 12:00:00,
10272,2004-07-20 00:00:00,2004-07-26 00:00:00,2004-07-22 00:00:00,Shipped,157,2005-06-09 12:00:00,2005-06-09 12:00:00,
10273,2004-07-21 00:00:00,2004-07-28 00:00:00,2004-07-22 00:00:00,Shipped,314,2005-06-09 12:00:00,2005-06-09 12:00:00,
10274,2004-07-21 00:00:00,2004-07-29 00:00:00,2004-07-22 00:00:00,Shipped,379,2005-06-09 12:00:00,2005-06-09 12:00:00,
10276,2004-08-02 00:00:00,2004-08-11 00:00:00,2004-08-08 00:00:00,Shipped,204,2005-06-09 12:00:00,2005-06-09 12:00:00,
10277,2004-08-04 00:00:00,2004-08-12 00:00:00,2004-08-05 00:00:00,Shipped,148,2005-06-09 12:00:00,2005-06-09 12:00:00,
10278,2004-08-06 00:00:00,2004-08-16 00:00:00,2004-08-09 00:00:00,Shipped,112,2005-06-09 12:00:00,2005-06-09 12:00:00,
10279,2004-08-09 00:00:00,2004-08-19 00:00:00,2004-08-15 00:00:00,Shipped,141,2005-06-09 12:00:00,2005-06-09 12:00:00,
10280,2004-08-17 00:00:00,2004-08-27 00:00:00,2004-08-19 00:00:00,Shipped,249,2005-06-09 12:00:00,2005-06-09 12:00:00,
10281,2004-08-19 00:00:00,2004-08-28 00:00:00,2004-08-23 00:00:00,Shipped,157,2005-06-09 12:00:00,2005-06-09 12:00:00,
10283,2004-08-20 00:00:00,2004-08-30 00:00:00,2004-08-23 00:00:00,Shipped,260,2005-06-09 12:00:00,2005-06-09 12:00:00,
10284,2004-08-21 00:00:00,2004-08-29 00:00:00,2004-08-26 00:00:00,Shipped,299,2005-06-09 12:00:00,2005-06-09 12:00:00,
10285,2004-08-27 00:00:00,2004-09-04 00:00:00,2004-08-31 00:00:00,Shipped,286,2005-06-09 12:00:00,2005-06-09 12:00:00,
10286,2004-08-28 00:00:00,2004-09-06 00:00:00,2004-09-01 00:00:00,Shipped,172,2005-06-09 12:00:00,2005-06-09 12:00:00,
10287,2004-08-30 00:00:00,2004-09-06 00:00:00,2004-09-01 00:00:00,Shipped,298,2005-06-09 12:00:00,2005-06-09 12:00:00,
10289,2004-09-03 00:00:00,2004-09-13 00:00:00,2004-09-04 00:00:00,Shipped,167,2005-06-09 12:00:00,2005-06-09 12:00:00,
10290,2004-09-07 00:00:00,2004-09-15 00:00:00,2004-09-13 00:00:00,Shipped,198,2005-06-09 12:00:00,2005-06-09 12:00:00,
